index	name	color
1	7Networks_LH_Vis_1	#781180
2	7Networks_LH_Vis_2	#781181
3	7Networks_LH_Vis_3	#781182
4	7Networks_LH_Vis_4	#781183
5	7Networks_LH_Vis_5	#781184
6	7Networks_LH_Vis_6	#781185
7	7Networks_LH_Vis_7	#781186
8	7Networks_LH_Vis_8	#78127f
9	7Networks_LH_Vis_9	#781280
10	7Networks_LH_Vis_10	#781281
11	7Networks_LH_Vis_11	#781282
12	7Networks_LH_Vis_12	#781283
13	7Networks_LH_Vis_13	#781284
14	7Networks_LH_Vis_14	#781285
15	7Networks_LH_Vis_15	#781287
16	7Networks_LH_Vis_16	#781288
17	7Networks_LH_Vis_17	#781289
18	7Networks_LH_Vis_18	#78128a
19	7Networks_LH_Vis_19	#78128b
20	7Networks_LH_Vis_20	#78128c
21	7Networks_LH_Vis_21	#78128d
22	7Networks_LH_Vis_22	#781386
23	7Networks_LH_Vis_23	#781387
24	7Networks_LH_Vis_24	#781388
25	7Networks_LH_Vis_25	#781389
26	7Networks_LH_Vis_26	#78138a
27	7Networks_LH_Vis_27	#78138b
28	7Networks_LH_Vis_28	#78138c
29	7Networks_LH_Vis_29	#78138d
30	7Networks_LH_Vis_30	#781486
31	7Networks_LH_Vis_31	#781487
32	7Networks_LH_SomMot_1	#4680b3
33	7Networks_LH_SomMot_2	#4680b4
34	7Networks_LH_SomMot_3	#4681ad
35	7Networks_LH_SomMot_4	#4681ae
36	7Networks_LH_SomMot_5	#4681af
37	7Networks_LH_SomMot_6	#4681b0
38	7Networks_LH_SomMot_7	#4681b1
39	7Networks_LH_SomMot_8	#4681b2
40	7Networks_LH_SomMot_9	#4681b3
41	7Networks_LH_SomMot_10	#4681b4
42	7Networks_LH_SomMot_11	#4682ad
43	7Networks_LH_SomMot_12	#4682ae
44	7Networks_LH_SomMot_13	#4682af
45	7Networks_LH_SomMot_14	#4682b0
46	7Networks_LH_SomMot_15	#4682b1
47	7Networks_LH_SomMot_16	#4682b2
48	7Networks_LH_SomMot_17	#4682b3
49	7Networks_LH_SomMot_18	#4682b5
50	7Networks_LH_SomMot_19	#4682b6
51	7Networks_LH_SomMot_20	#4682b7
52	7Networks_LH_SomMot_21	#4682b8
53	7Networks_LH_SomMot_22	#4682b9
54	7Networks_LH_SomMot_23	#4682ba
55	7Networks_LH_SomMot_24	#4682bb
56	7Networks_LH_SomMot_25	#4683b4
57	7Networks_LH_SomMot_26	#4683b5
58	7Networks_LH_SomMot_27	#4683b6
59	7Networks_LH_SomMot_28	#4683b7
60	7Networks_LH_SomMot_29	#4683b8
61	7Networks_LH_SomMot_30	#4683b9
62	7Networks_LH_SomMot_31	#4683ba
63	7Networks_LH_SomMot_32	#4683bb
64	7Networks_LH_SomMot_33	#4684b4
65	7Networks_LH_SomMot_34	#4684b5
66	7Networks_LH_SomMot_35	#4684b6
67	7Networks_LH_SomMot_36	#4684b7
68	7Networks_LH_SomMot_37	#4684b8
69	7Networks_LH_DorsAttn_Post_1	#007607
70	7Networks_LH_DorsAttn_Post_2	#007608
71	7Networks_LH_DorsAttn_Post_3	#007609
72	7Networks_LH_DorsAttn_Post_4	#00760a
73	7Networks_LH_DorsAttn_Post_5	#00760b
74	7Networks_LH_DorsAttn_Post_6	#00760c
75	7Networks_LH_DorsAttn_Post_7	#00760d
76	7Networks_LH_DorsAttn_Post_8	#00760f
77	7Networks_LH_DorsAttn_Post_9	#007610
78	7Networks_LH_DorsAttn_Post_10	#007611
79	7Networks_LH_DorsAttn_Post_11	#007612
80	7Networks_LH_DorsAttn_Post_12	#007613
81	7Networks_LH_DorsAttn_Post_13	#007614
82	7Networks_LH_DorsAttn_Post_14	#007615
83	7Networks_LH_DorsAttn_Post_15	#00770e
84	7Networks_LH_DorsAttn_Post_16	#00770f
85	7Networks_LH_DorsAttn_Post_17	#007710
86	7Networks_LH_DorsAttn_FEF_1	#007616
87	7Networks_LH_DorsAttn_FEF_2	#007711
88	7Networks_LH_DorsAttn_FEF_3	#007712
89	7Networks_LH_DorsAttn_FEF_4	#007713
90	7Networks_LH_DorsAttn_PrCv_1	#007714
91	7Networks_LH_DorsAttn_PrCv_2	#007715
92	7Networks_LH_SalVentAttn_ParOper_1	#c43afb
93	7Networks_LH_SalVentAttn_ParOper_2	#c43afc
94	7Networks_LH_SalVentAttn_ParOper_3	#c43afd
95	7Networks_LH_SalVentAttn_ParOper_4	#c43afe
96	7Networks_LH_SalVentAttn_TempOcc_1	#c43aff
97	7Networks_LH_SalVentAttn_FrOper_1	#c43bf7
98	7Networks_LH_SalVentAttn_FrOper_2	#c43bf8
99	7Networks_LH_SalVentAttn_FrOper_3	#c43bf9
100	7Networks_LH_SalVentAttn_FrOper_4	#c43bfb
101	7Networks_LH_SalVentAttn_FrOper_5	#c43bfc
102	7Networks_LH_SalVentAttn_FrOper_6	#c43bfd
103	7Networks_LH_SalVentAttn_FrOper_7	#c43bfe
104	7Networks_LH_SalVentAttn_FrOper_8	#c43bff
105	7Networks_LH_SalVentAttn_FrOper_9	#c134fa
106	7Networks_LH_SalVentAttn_PFCl_1	#c134f9
107	7Networks_LH_SalVentAttn_Med_1	#c53af8
108	7Networks_LH_SalVentAttn_Med_2	#c53af9
109	7Networks_LH_SalVentAttn_Med_3	#c53afb
110	7Networks_LH_SalVentAttn_Med_4	#c53afc
111	7Networks_LH_SalVentAttn_Med_5	#c53afd
112	7Networks_LH_SalVentAttn_Med_6	#c53afe
113	7Networks_LH_SalVentAttn_Med_7	#c53aff
114	7Networks_LH_Limbic_OFC_1	#dcf8a3
115	7Networks_LH_Limbic_OFC_2	#dcf8a5
116	7Networks_LH_Limbic_OFC_3	#dcf8a6
117	7Networks_LH_Limbic_OFC_4	#dcf8a7
118	7Networks_LH_Limbic_OFC_5	#dcf8a8
119	7Networks_LH_Limbic_TempPole_1	#dcf8a4
120	7Networks_LH_Limbic_TempPole_2	#dcf8a9
121	7Networks_LH_Limbic_TempPole_3	#dcf8aa
122	7Networks_LH_Limbic_TempPole_4	#dcf8ab
123	7Networks_LH_Limbic_TempPole_5	#dcf8ac
124	7Networks_LH_Limbic_TempPole_6	#dcf9a5
125	7Networks_LH_Limbic_TempPole_7	#dcf9a6
