index	name	color
1	17Networks_LH_VisCent_ExStr_1	#781283
2	17Networks_LH_VisCent_ExStr_2	#781284
3	17Networks_LH_VisCent_ExStr_3	#781285
4	17Networks_LH_VisCent_ExStr_4	#781286
5	17Networks_LH_VisCent_ExStr_5	#781288
6	17Networks_LH_VisCent_ExStr_6	#781289
7	17Networks_LH_VisCent_ExStr_7	#78128a
8	17Networks_LH_VisCent_ExStr_8	#78128b
9	17Networks_LH_VisCent_ExStr_9	#78128c
10	17Networks_LH_VisCent_ExStr_10	#78128d
11	17Networks_LH_VisCent_ExStr_11	#78128e
12	17Networks_LH_VisPeri_ExStrSup_1	#ff0101
13	17Networks_LH_VisPeri_ExStrSup_2	#ff0102
14	17Networks_LH_VisPeri_ExStrSup_3	#ff0103
15	17Networks_LH_VisPeri_ExStrSup_4	#ff0104
16	17Networks_LH_VisPeri_ExStrSup_5	#ff0105
17	17Networks_LH_VisPeri_ExStrSup_6	#ff0106
18	17Networks_LH_VisPeri_ExStrSup_7	#ff0107
19	17Networks_LH_VisPeri_ExStrSup_8	#ff0200
20	17Networks_LH_VisPeri_ExStrSup_9	#ff0201
21	17Networks_LH_SomMotA_1	#4682ae
22	17Networks_LH_SomMotA_2	#4682af
23	17Networks_LH_SomMotA_3	#4682b0
24	17Networks_LH_SomMotA_4	#4682b1
25	17Networks_LH_SomMotA_5	#4682b2
26	17Networks_LH_SomMotA_6	#4682b3
27	17Networks_LH_SomMotA_7	#4682b5
28	17Networks_LH_SomMotA_8	#4682b6
29	17Networks_LH_SomMotA_9	#4682b7
30	17Networks_LH_SomMotA_10	#4682b8
31	17Networks_LH_SomMotA_11	#4682b9
32	17Networks_LH_SomMotA_12	#4682ba
33	17Networks_LH_SomMotA_13	#4682bb
34	17Networks_LH_SomMotA_14	#4683b4
35	17Networks_LH_SomMotA_15	#4683b5
36	17Networks_LH_SomMotB_Aud_1	#2bcca0
37	17Networks_LH_SomMotB_Aud_2	#2bcca1
38	17Networks_LH_SomMotB_Aud_3	#2bcca2
39	17Networks_LH_SomMotB_Aud_4	#2bcca3
40	17Networks_LH_SomMotB_Aud_5	#2bcca5
41	17Networks_LH_SomMotB_Aud_6	#2bcca6
42	17Networks_LH_SomMotB_Aud_7	#2bcca7
43	17Networks_LH_SomMotB_Aud_8	#2bcca8
44	17Networks_LH_SomMotB_Aud_9	#2bcca9
45	17Networks_LH_SomMotB_Aud_10	#2bccaa
46	17Networks_LH_SomMotB_Aud_11	#2bccab
47	17Networks_LH_SomMotB_Aud_12	#2bcda4
48	17Networks_LH_DorsAttnA_TempOcc_1	#4a9b3d
49	17Networks_LH_DorsAttnA_TempOcc_2	#4a9b3e
50	17Networks_LH_DorsAttnA_TempOcc_3	#4a9b3f
51	17Networks_LH_DorsAttnA_ParOcc_1	#4a9b40
52	17Networks_LH_DorsAttnA_SPL_1	#4a9c3d
53	17Networks_LH_DorsAttnA_SPL_2	#4a9c3e
54	17Networks_LH_DorsAttnA_SPL_3	#4a9c3f
55	17Networks_LH_DorsAttnA_SPL_4	#4a9c40
56	17Networks_LH_DorsAttnB_TempOcc_1	#00760f
57	17Networks_LH_DorsAttnB_PostC_1	#00760e
58	17Networks_LH_DorsAttnB_PostC_2	#007610
59	17Networks_LH_DorsAttnB_PostC_3	#007611
60	17Networks_LH_DorsAttnB_PostC_4	#007612
61	17Networks_LH_DorsAttnB_PostC_5	#007613
62	17Networks_LH_DorsAttnB_FEF_1	#00770f
63	17Networks_LH_DorsAttnB_FEF_2	#007710
64	17Networks_LH_SalVentAttnA_ParOper_1	#c43afb
65	17Networks_LH_SalVentAttnA_ParOper_2	#c43afc
