index	name	color
1	17Networks_LH_VisCent_ExStr_1	#781286
2	17Networks_LH_VisCent_ExStr_2	#781288
3	17Networks_LH_VisCent_ExStr_3	#781289
4	17Networks_LH_VisCent_ExStr_4	#78128a
5	17Networks_LH_VisCent_ExStr_5	#78128b
6	17Networks_LH_VisCent_ExStr_6	#78128c
7	17Networks_LH_VisPeri_ExStrSup_1	#ff0101
8	17Networks_LH_VisPeri_ExStrSup_2	#ff0102
9	17Networks_LH_VisPeri_ExStrSup_3	#ff0103
10	17Networks_LH_VisPeri_ExStrSup_4	#ff0104
11	17Networks_LH_VisPeri_ExStrSup_5	#ff0105
12	17Networks_LH_VisPeri_ExStrSup_6	#ff0106
13	17Networks_LH_SomMotA_1	#4682b2
14	17Networks_LH_SomMotA_2	#4682b3
15	17Networks_LH_SomMotA_3	#4682b5
16	17Networks_LH_SomMotA_4	#4682b6
17	17Networks_LH_SomMotA_5	#4682b7
18	17Networks_LH_SomMotA_6	#4682b8
19	17Networks_LH_SomMotA_7	#4682b9
20	17Networks_LH_SomMotA_8	#4682ba
21	17Networks_LH_SomMotB_Aud_1	#2bcca2
22	17Networks_LH_SomMotB_Aud_2	#2bcca3
23	17Networks_LH_SomMotB_Aud_3	#2bcca5
24	17Networks_LH_SomMotB_Aud_4	#2bcca6
25	17Networks_LH_SomMotB_Aud_5	#2bcca7
26	17Networks_LH_SomMotB_Aud_6	#2bcca8
27	17Networks_LH_SomMotB_Aud_7	#2bcca9
28	17Networks_LH_SomMotB_Aud_8	#2bccaa
29	17Networks_LH_DorsAttnA_TempOcc_1	#4a9b3d
30	17Networks_LH_DorsAttnA_TempOcc_2	#4a9b3e
31	17Networks_LH_DorsAttnA_TempOcc_3	#4a9b3f
32	17Networks_LH_DorsAttnA_SPL_1	#4a9c3d
33	17Networks_LH_DorsAttnA_SPL_2	#4a9c3e
34	17Networks_LH_DorsAttnA_SPL_3	#4a9c3f
35	17Networks_LH_DorsAttnB_PostC_1	#007610
36	17Networks_LH_DorsAttnB_PostC_2	#007611
37	17Networks_LH_DorsAttnB_PostC_3	#007612
38	17Networks_LH_DorsAttnB_PostC_4	#007613
39	17Networks_LH_DorsAttnB_FEF_1	#00770f
40	17Networks_LH_SalVentAttnA_ParOper_1	#c43afb
41	17Networks_LH_SalVentAttnA_Ins_1	#c43bfb
42	17Networks_LH_SalVentAttnA_Ins_2	#c43bfc
43	17Networks_LH_SalVentAttnA_Ins_3	#c43bfd
44	17Networks_LH_SalVentAttnA_ParMed_1	#c43bfe
45	17Networks_LH_SalVentAttnA_FrMed_1	#c53afb
46	17Networks_LH_SalVentAttnA_FrMed_2	#c53afc
47	17Networks_LH_SalVentAttnB_IPL_1	#ff98d6
48	17Networks_LH_SalVentAttnB_PFCl_1	#ff99d6
49	17Networks_LH_SalVentAttnB_PFCv_1	#ff99d7
50	17Networks_LH_SalVentAttnB_PFCmp_1	#ff97d6
51	17Networks_LH_Limbic_OFC_1	#7a8733
52	17Networks_LH_Limbic_OFC_2	#7a8734
53	17Networks_LH_Limbic_TempPole_1	#dcf8a5
54	17Networks_LH_Limbic_TempPole_2	#dcf8a6
55	17Networks_LH_Limbic_TempPole_3	#dcf8a7
56	17Networks_LH_Limbic_TempPole_4	#dcf8a8
57	17Networks_LH_ContA_Temp_1	#e69423
58	17Networks_LH_ContA_IPS_1	#e69424
59	17Networks_LH_ContA_IPS_2	#e69425
60	17Networks_LH_ContA_IPS_3	#e69426
61	17Networks_LH_ContA_PFCd_1	#e69523
62	17Networks_LH_ContA_PFCl_1	#e69524
63	17Networks_LH_ContA_PFCl_2	#e69525
64	17Networks_LH_ContA_PFCl_3	#e69526
65	17Networks_LH_ContA_PFCl_4	#e69527
66	17Networks_LH_ContA_Cinga_1	#e79424
67	17Networks_LH_ContB_Temp_1	#87324b
68	17Networks_LH_ContB_IPL_1	#87324c
69	17Networks_LH_ContB_PFCl_1	#87334c
70	17Networks_LH_ContB_PFClv_1	#88324b
71	17Networks_LH_ContB_PFClv_2	#88324c
72	17Networks_LH_ContC_pCun_1	#778cb1
73	17Networks_LH_ContC_pCun_2	#778cb2
74	17Networks_LH_ContC_Cingp_1	#778cb3
75	17Networks_LH_DefaultA_IPL_1	#ffff01
76	17Networks_LH_DefaultA_PFCd_1	#ffff02
77	17Networks_LH_DefaultA_PCC_1	#fffe01
78	17Networks_LH_DefaultA_PCC_2	#fffe02
79	17Networks_LH_DefaultA_PCC_3	#fffe03
80	17Networks_LH_DefaultA_PFCm_1	#feff01
81	17Networks_LH_DefaultA_PFCm_2	#feff02
82	17Networks_LH_DefaultA_PFCm_3	#feff03
83	17Networks_LH_DefaultB_Temp_1	#cd3e4f
84	17Networks_LH_DefaultB_Temp_2	#cd3e50
85	17Networks_LH_DefaultB_Temp_3	#cd3e51
86	17Networks_LH_DefaultB_Temp_4	#cd3e52
87	17Networks_LH_DefaultB_IPL_1	#cd3e53
88	17Networks_LH_DefaultB_PFCd_1	#cd3f4f
89	17Networks_LH_DefaultB_PFCd_2	#cd3f50
90	17Networks_LH_DefaultB_PFCd_3	#cd3f51
91	17Networks_LH_DefaultB_PFCd_4	#cd3f52
92	17Networks_LH_DefaultB_PFCv_1	#ce3e4f
93	17Networks_LH_DefaultB_PFCv_2	#ce3e50
94	17Networks_LH_DefaultB_PFCv_3	#ce3e51
95	17Networks_LH_DefaultB_PFCv_4	#ce3e52
96	17Networks_LH_DefaultC_IPL_1	#000083
97	17Networks_LH_DefaultC_Rsp_1	#000084
98	17Networks_LH_DefaultC_PHC_1	#000183
99	17Networks_LH_TempPar_1	#0929fa
100	17Networks_LH_TempPar_2	#0929fb
101	17Networks_RH_VisCent_ExStr_1	#7c1386
102	17Networks_RH_VisCent_ExStr_2	#7c1388
103	17Networks_RH_VisCent_ExStr_3	#7c1389
104	17Networks_RH_VisCent_ExStr_4	#7c138a
105	17Networks_RH_VisCent_ExStr_5	#7c138b
106	17Networks_RH_VisCent_ExStr_6	#7c138c
107	17Networks_RH_VisPeri_ExStrSup_1	#fa0000
108	17Networks_RH_VisPeri_ExStrSup_2	#fa0002
109	17Networks_RH_VisPeri_ExStrSup_3	#fa0003
